,BBL,Aleration_Count,altered_lessthan5yrs,altered_morethan5yrs,ClassANet_Avg,Enlargement_Count
0,1000057501,1,0,1,0.0,0
1,1000080039,1,0,1,-21.0,0
2,1000110012,1,0,1,1.0,0
3,1000130027,1,0,1,0.0,0
4,1000150022,1,0,1,0.0,0
5,1000157501,2,0,1,0.0,0
6,1000157502,1,0,1,0.0,0
7,1000160100,2,1,0,0.0,0
8,1000167501,1,0,1,0.0,0
9,1000167509,1,0,1,0.0,0
10,1000167511,2,1,0,0.5,0
11,1000167515,1,0,1,-1.0,0
12,1000167522,1,0,1,-1.0,0
13,1000170029,1,1,0,0.0,0
14,1000187501,1,1,0,0.0,0
15,1000230050,1,1,0,275.0,0
16,1000257502,1,1,0,-37.0,0
17,1000290023,1,0,1,0.0,0
18,1000290048,1,0,1,0.0,0
19,1000310001,1,1,0,0.0,0
20,1000337501,1,1,0,51.0,0
21,1000370008,1,1,0,82.0,0
22,1000417504,2,1,0,388.0,0
23,1000530037,1,1,0,0.0,0
24,1000530039,1,1,0,0.0,1
25,1000550016,1,0,1,0.0,0
26,1000647501,1,0,1,14.0,0
27,1000647502,1,0,1,0.0,0
28,1000650010,1,1,0,0.0,0
29,1000657502,1,1,0,0.0,0
30,1000680016,1,1,0,-121.0,0
31,1000687502,1,0,1,0.0,0
32,1000690032,1,0,1,416.0,0
33,1000697502,1,0,1,221.0,0
34,1000700032,1,1,0,581.0,0
35,1000710001,1,0,1,0.0,0
36,1000720027,1,0,1,0.0,0
37,1000750001,1,0,1,0.0,0
38,1000757502,1,0,1,0.0,0
39,1000767502,1,1,0,0.0,0
40,1000770018,1,1,0,0.0,0
41,1000780042,1,0,1,-4.0,0
42,1000790010,1,1,0,16.0,0
43,1000847501,1,1,0,162.0,0
44,1000880014,1,1,0,0.0,0
45,1000890002,1,0,1,2.0,0
46,1000907501,1,1,0,93.0,0
47,1000907503,1,1,0,87.0,0
48,1000940001,1,0,1,0.0,0
49,1000970002,1,1,0,4.0,0
50,1000970008,1,1,0,3.0,0
51,1000970013,1,1,0,1.0,0
52,1000970024,1,1,0,0.0,0
53,1000970043,1,0,1,2.0,0
54,1000977504,1,1,0,0.0,0
55,1001007501,1,0,1,0.0,0
56,1001060003,1,0,1,0.0,0
57,1001067503,1,0,1,0.0,0
58,1001070026,1,0,1,5.0,0
59,1001070050,1,0,1,0.0,0
60,1001160047,1,0,1,2.0,0
61,1001237501,1,1,0,32.0,0
62,1001240010,1,0,1,0.0,0
63,1001320026,1,0,1,0.0,0
64,1001320027,2,0,1,0.0,0
65,1001327501,1,1,0,0.0,0
66,1001337503,1,0,1,0.0,1
67,1001337510,1,0,1,0.0,0
68,1001337511,1,0,1,18.0,0
69,1001340021,1,1,0,4.0,0
70,1001347503,1,1,0,3.0,0
71,1001350011,1,0,1,1.0,0
72,1001357504,1,0,1,1.0,0
73,1001357509,1,1,0,13.0,0
74,1001367506,1,1,0,8.0,0
75,1001370001,1,0,1,0.0,0
76,1001370003,1,1,0,0.0,0
77,1001370005,1,1,0,0.0,0
78,1001370007,1,0,1,0.0,0
79,1001370029,1,0,1,0.0,0
80,1001377505,1,0,1,0.0,0
81,1001400004,1,0,1,4.0,0
82,1001400024,1,0,1,1.0,0
83,1001407502,1,1,0,0.0,0
84,1001410023,1,0,1,5.0,0
85,1001417502,3,0,1,1.0,0
86,1001417508,1,1,0,0.0,0
87,1001420012,1,0,1,-1.0,0
88,1001420025,1,0,1,-3.0,0
89,1001430013,1,0,1,0.0,0
90,1001430014,1,1,0,4.0,0
91,1001430020,1,1,0,0.0,0
92,1001430025,1,1,0,0.0,0
93,1001437501,1,1,0,1.0,0
94,1001437503,1,0,1,6.0,0
95,1001440001,1,0,1,0.0,0
96,1001440023,2,0,1,1.0,0
97,1001440026,1,0,1,0.0,0
98,1001450012,1,1,0,0.0,0
99,1001457501,1,1,0,9.0,0
100,1001457503,1,1,0,0.0,0
101,1001457507,1,1,0,0.0,0
102,1001460021,3,1,0,0.0,0
103,1001467502,1,0,1,0.0,0
104,1001470012,1,0,1,1.0,0
105,1001480015,3,1,0,0.0,0
106,1001497501,1,0,1,-2.0,1
107,1001497502,1,1,0,0.0,0
108,1001500010,1,1,0,-1.0,0
109,1001507504,1,1,0,0.0,0
110,1001510031,1,0,1,1.0,0
111,1001520031,1,1,0,8.0,0
112,1001620012,1,0,1,0.0,0
113,1001620038,1,1,0,0.0,0
114,1001630014,1,1,0,2.0,0
115,1001630033,1,0,1,0.0,0
116,1001640002,1,0,1,0.0,0
117,1001640032,1,0,1,-1.0,0
118,1001640049,1,1,0,-3.0,0
119,1001717501,1,1,0,0.0,0
120,1001717503,1,0,1,0.0,0
121,1001720030,1,1,0,0.0,0
122,1001727502,1,0,1,0.0,1
123,1001727505,1,1,0,5.0,0
124,1001737504,1,0,1,91.0,0
125,1001740005,1,0,1,4.0,0
126,1001740023,1,0,1,11.0,0
127,1001740037,1,0,1,8.0,0
128,1001747502,1,0,1,0.0,0
129,1001747504,1,1,0,7.0,0
130,1001747505,1,1,0,13.0,1
131,1001750002,1,0,1,0.0,0
132,1001750004,1,0,1,0.0,0
133,1001750016,1,0,1,1.0,0
134,1001750033,1,0,1,28.0,0
135,1001757502,1,0,1,0.0,0
136,1001757505,1,0,1,0.0,0
137,1001757506,1,0,1,0.0,0
138,1001760013,1,1,0,2.0,0
139,1001770027,1,0,1,4.0,0
140,1001790017,1,0,1,0.0,0
141,1001790056,1,1,0,0.0,0
142,1001797507,1,1,0,6.0,0
143,1001797508,1,1,0,7.0,1
144,1001800017,1,0,1,0.0,0
145,1001807508,1,0,1,0.0,0
146,1001807512,1,0,1,12.0,0
147,1001810016,1,1,0,0.0,0
148,1001810019,1,1,0,5.0,0
149,1001810041,1,0,1,3.0,0
150,1001870002,1,1,0,0.0,0
151,1001877502,1,0,1,-1.0,0
152,1001880001,2,0,1,0.0,0
153,1001880009,1,1,0,2.0,0
154,1001890028,1,1,0,6.0,0
155,1001890041,1,1,0,0.0,0
156,1001897507,1,1,0,0.0,0
157,1001907501,1,1,0,0.0,0
158,1001907506,1,0,1,0.0,0
159,1001910001,1,1,0,0.0,0
160,1001930010,2,0,1,0.5,0
161,1001930025,1,0,1,0.0,0
162,1001937503,1,0,1,0.0,0
163,1001937504,2,1,0,0.0,0
164,1001937507,1,0,1,-1.0,0
165,1001937510,2,0,1,5.0,0
166,1001937511,1,1,0,8.0,0
167,1001940011,1,1,0,0.0,0
168,1001940022,1,0,1,2.0,0
169,1001947501,1,1,0,2.0,0
170,1001947503,1,1,0,0.0,0
171,1001947505,1,0,1,4.0,1
172,1001947506,1,0,1,5.0,0
173,1001947507,1,0,1,11.0,0
174,1001947508,1,1,0,6.0,0
175,1001947509,1,1,0,4.0,0
176,1001947510,1,1,0,4.0,0
177,1001950001,1,0,1,6.0,0
178,1001960009,1,0,1,0.0,0
179,1002040016,1,1,0,0.0,0
180,1002050020,1,1,0,-1.0,0
181,1002090019,1,1,0,0.0,0
182,1002100007,1,0,1,0.0,0
183,1002100018,1,1,0,4.0,0
184,1002100020,1,0,1,3.0,0
185,1002100026,1,0,1,2.0,0
186,1002107501,1,0,1,-3.0,0
187,1002117502,1,0,1,0.0,0
188,1002127505,1,1,0,27.0,0
189,1002140003,1,0,1,0.0,0
190,1002147504,1,1,0,0.0,0
191,1002150001,1,0,1,4.0,1
192,1002157504,1,1,0,0.0,0
193,1002157505,1,0,1,0.0,0
194,1002177502,1,0,1,2.0,0
195,1002177503,1,0,1,104.0,0
196,1002177504,1,0,1,18.0,0
197,1002180011,1,1,0,-1.0,0
198,1002180024,1,0,1,16.0,0
199,1002197506,1,0,1,6.0,0
200,1002207506,1,0,1,3.0,0
201,1002227501,1,0,1,3.0,0
202,1002227503,1,1,0,53.0,0
203,1002240027,1,0,1,-3.0,0
204,1002247503,1,0,1,3.0,0
205,1002257501,2,0,1,-2.0,0
206,1002270020,1,0,1,0.0,0
207,1002270028,1,0,1,0.0,0
208,1002270055,1,1,0,6.0,0
209,1002280005,1,0,1,6.0,0
210,1002287504,1,1,0,4.0,0
211,1002300005,1,1,0,3.0,0
212,1002300006,1,1,0,3.0,0
213,1002300014,1,0,1,0.0,0
214,1002300020,2,0,1,-1.5,0
215,1002300027,1,0,1,0.0,0
216,1002300045,1,0,1,1.0,0
217,1002307506,1,1,0,-5.0,0
218,1002307507,1,0,1,1.0,0
219,1002310005,1,0,1,18.0,0
220,1002330002,1,0,1,0.0,0
221,1002330008,1,1,0,0.0,0
222,1002330015,1,0,1,6.0,0
223,1002330017,1,0,1,0.0,0
224,1002350009,1,0,1,2.0,0
225,1002367502,2,1,0,4.5,0
226,1002367503,1,1,0,2.0,0
227,1002380019,1,0,1,-5.0,0
228,1002380037,2,1,0,0.0,0
229,1002390015,1,1,0,23.0,0
230,1002390038,2,0,1,0.0,0
231,1002460001,1,1,0,0.0,0
