bbl,rs_units_19,rs_units_20,rs_units_21,total_units_19,total_units_20,total_units_21,boro,cd,ct_10,year_built,bldg_class,rs_share_19,rs_share_20,rs_share_21
1000780047,483,483,483,483,483,483,1,101,001502,2016,D8,1,1,1
1001350019,4,4,4,4,4,4,1,101,0021,1915,K4,1,1,1
1001620013,15,15,14,20,20,20,1,103,0029,1915,C7,0.75,0.75,0.7
1001630024,12,13,15,16,16,16,1,103,0029,1915,C7,0.75,0.8125,0.9375
1001630033,11,11,11,11,11,11,1,103,0029,1915,C7,1,1,1
1001640049,18,18,18,19,19,19,1,103,0029,1915,C7,0.9473684210526315,0.9473684210526315,0.9473684210526315
1001640066,3,3,3,10,10,10,1,103,0029,1910,C7,0.3,0.3,0.3
1001990011,7,7,7,13,13,13,1,103,0029,1915,C7,0.5384615384615384,0.5384615384615384,0.5384615384615384
1001990031,11,11,11,18,18,18,1,103,0029,1890,C7,0.6111111111111112,0.6111111111111112,0.6111111111111112
1002000011,1,1,1,8,8,8,1,103,0029,1910,C7,0.125,0.125,0.125
1002000028,2,2,2,19,19,19,1,103,0029,1910,C7,0.10526315789473684,0.10526315789473684,0.10526315789473684
1002050023,7,7,0,22,22,22,1,102,0041,1900,C7,0.3181818181818182,0.3181818181818182,0
1002140026,7,7,7,8,8,8,1,101,0039,1870,C7,0.875,0.875,0.875
1002350005,6,6,0,6,6,6,1,102,0041,1915,S5,1,1,0
1002360026,8,7,7,21,21,21,1,102,0041,1900,C7,0.38095238095238093,0.3333333333333333,0.3333333333333333
1002370011,5,2,2,15,15,15,1,102,0041,1900,C7,0.3333333333333333,0.13333333333333333,0.13333333333333333
1002370023,7,7,7,16,16,16,1,102,0041,1900,C7,0.4375,0.4375,0.4375
1002370034,8,8,8,20,20,20,1,102,0041,1900,C7,0.4,0.4,0.4
1002380014,8,8,7,20,20,20,1,102,0041,1900,C7,0.4,0.4,0.35
1002380035,0,13,13,17,17,17,1,102,0041,1910,C7,0,0.7647058823529411,0.7647058823529411
1002710043,20,20,20,20,20,20,1,103,0006,1920,C7,1,1,1
1002710053,12,12,12,15,15,15,1,103,0006,1910,C4,0.8,0.8,0.8
1002730024,18,18,18,18,18,18,1,103,0006,1901,C7,1,1,1
1002750027,8,7,7,8,8,8,1,103,0008,1900,C7,1,0.875,0.875
1002760010,18,18,18,20,20,20,1,103,0008,1900,C1,0.9,0.9,0.9
1002760033,13,13,13,22,22,22,1,103,0008,1900,C7,0.5909090909090909,0.5909090909090909,0.5909090909090909
1002770001,9,9,9,10,10,10,1,103,0008,1900,C1,0.9,0.9,0.9
1002770029,10,10,10,17,17,17,1,103,0008,1900,C7,0.5882352941176471,0.5882352941176471,0.5882352941176471
1002770043,14,14,14,16,16,16,1,103,0008,1900,C7,0.875,0.875,0.875
1002770054,16,16,16,22,22,22,1,103,0008,1920,C7,0.7272727272727273,0.7272727272727273,0.7272727272727273
1002790029,20,20,20,40,40,40,1,103,0027,1900,C7,0.5,0.5,0.5
1002800013,16,0,0,17,17,17,1,103,0008,1900,C7,0.9411764705882353,0,0
1002810017,16,16,16,16,16,16,1,103,0008,1900,C7,1,1,1
1002810030,22,22,22,34,34,34,1,103,0008,1900,C7,0.6470588235294118,0.6470588235294118,0.6470588235294118
1002850020,3,3,3,7,7,7,1,103,0006,1910,C7,0.42857142857142855,0.42857142857142855,0.42857142857142855
1002860018,4,4,4,24,24,24,1,103,000201,1900,C7,0.16666666666666666,0.16666666666666666,0.16666666666666666
1002970019,3,3,3,16,16,16,1,103,0016,1900,C7,0.1875,0.1875,0.1875
1003040021,17,17,17,24,24,24,1,103,0016,1910,D7,0.7083333333333334,0.7083333333333334,0.7083333333333334
1003060026,7,7,7,8,8,8,1,103,0016,1910,C7,0.875,0.875,0.875
1003100023,8,8,8,16,16,16,1,103,0016,1900,C7,0.5,0.5,0.5
1003440072,16,15,15,25,25,25,1,103,002201,1920,C7,0.64,0.6,0.6
1003440170,9,9,9,21,21,21,1,103,002201,1920,C7,0.42857142857142855,0.42857142857142855,0.42857142857142855
1003450011,6,6,6,8,8,8,1,103,002201,1900,C7,0.75,0.75,0.75
1003480024,4,3,4,18,18,18,1,103,001402,1920,C7,0.2222222222222222,0.16666666666666666,0.2222222222222222
1003480048,8,8,8,28,28,28,1,103,001402,1920,C7,0.2857142857142857,0.2857142857142857,0.2857142857142857
1003490016,19,19,19,20,20,20,1,103,003001,1900,C4,0.95,0.95,0.95
1003500039,10,10,10,10,10,10,1,103,002201,1900,C7,1,1,1
1003500056,4,0,0,4,4,4,1,103,002201,1920,S4,1,0,0
1003530049,7,7,7,25,25,25,1,103,001402,1910,C7,0.28,0.28,0.28
1003540028,10,10,10,10,10,10,1,103,003001,1920,C4,1,1,1
1003550049,1,1,1,18,18,18,1,103,003001,1900,C9,0.05555555555555555,0.05555555555555555,0.05555555555555555
1003720009,2,1,1,8,8,8,1,103,002202,1900,C7,0.25,0.125,0.125
1003720031,33,33,33,33,33,33,1,103,002202,2012,D9,1,1,1
1003720056,2,2,2,20,20,20,1,103,002202,1920,C1,0.1,0.1,0.1
1003730051,38,38,38,38,38,38,1,103,002601,2003,D3,1,1,1
1003740041,1,1,1,20,20,20,1,103,002601,1900,C7,0.05,0.05,0.05
1003760011,12,12,12,30,30,30,1,103,002602,1900,C4,0.4,0.4,0.4
1003790032,17,17,17,17,17,17,1,103,0028,1920,C7,1,1,1
1003840017,10,10,10,10,10,10,1,103,002202,1900,C4,1,1,1
1003850026,4,4,4,17,17,17,1,103,002202,1910,C4,0.23529411764705882,0.23529411764705882,0.23529411764705882
1003860001,6,6,6,6,6,6,1,103,002601,1920,S5,1,1,1
1003890007,5,5,5,12,12,12,1,103,002602,1900,C7,0.4166666666666667,0.4166666666666667,0.4166666666666667
1003890022,8,8,8,28,28,28,1,103,002602,1900,C7,0.2857142857142857,0.2857142857142857,0.2857142857142857
1003920027,45,45,45,45,45,45,1,103,0028,1900,C4,1,1,1
1003930018,1,1,1,26,26,26,1,103,0028,1900,C1,0.038461538461538464,0.038461538461538464,0.038461538461538464
1003930035,3,3,3,18,18,18,1,103,0028,1900,C4,0.16666666666666666,0.16666666666666666,0.16666666666666666
1003940002,1,1,0,10,10,10,1,103,0028,2003,D1,0.1,0.1,0
1003940057,1,1,1,9,9,9,1,103,0028,1910,C4,0.1111111111111111,0.1111111111111111,0.1111111111111111
1003960028,14,14,13,18,18,18,1,103,0028,1900,C7,0.7777777777777778,0.7777777777777778,0.7222222222222222
1003980025,15,6,0,23,23,23,1,103,003002,1912,D9,0.6521739130434783,0.2608695652173913,0
1003980053,4,4,4,36,36,36,1,103,003002,1900,C7,0.1111111111111111,0.1111111111111111,0.1111111111111111
1004000010,16,16,16,17,17,17,1,103,0032,1940,C4,0.9411764705882353,0.9411764705882353,0.9411764705882353
1004010015,19,19,19,20,20,20,1,103,0032,1900,C5,0.95,0.95,0.95
1004010028,1,1,1,10,10,10,1,103,0032,1920,C4,0.1,0.1,0.1
1004020001,0,4,0,18,18,15,1,103,0032,1920,C7,0,0.2222222222222222,0
1004020028,6,6,0,20,20,20,1,103,0032,1911,C4,0.3,0.3,0
1004020045,21,21,21,22,22,22,1,103,0032,1900,D1,0.9545454545454546,0.9545454545454546,0.9545454545454546
1004040014,5,5,5,27,27,27,1,103,0034,1900,C7,0.18518518518518517,0.18518518518518517,0.18518518518518517
1004040037,2,2,2,8,8,8,1,103,0034,1860,C7,0.25,0.25,0.25
1004050009,4,4,4,10,10,10,1,103,0034,1900,C4,0.4,0.4,0.4
1004060001,2,0,0,6,6,6,1,103,0034,1910,C4,0.3333333333333333,0,0
1004060055,2,2,2,21,21,21,1,103,0034,1905,C7,0.09523809523809523,0.09523809523809523,0.09523809523809523
1004070005,1,1,1,14,14,14,1,103,0034,1900,C7,0.07142857142857142,0.07142857142857142,0.07142857142857142
1004070032,4,4,4,26,26,26,1,103,0034,1905,C7,0.15384615384615385,0.15384615384615385,0.15384615384615385
1004070042,10,10,10,21,21,21,1,103,0034,1900,C4,0.47619047619047616,0.47619047619047616,0.47619047619047616
1004080020,20,20,0,21,21,21,1,103,0018,1900,C4,0.9523809523809523,0.9523809523809523,0
1004110008,6,5,5,28,28,28,1,103,003001,1900,C7,0.21428571428571427,0.17857142857142858,0.17857142857142858
1004110021,20,18,19,20,20,20,1,103,003001,1900,C7,1,0.9,0.95
1004110034,5,5,5,20,20,20,1,103,003001,1920,C7,0.25,0.25,0.25
